# SNRtot, SNR330_res, SNR330, evidence220_330, evidence220, nofilter
8.089121713547687875e+01 2.193240840825236404e+01 2.855797638284719753e+01 4.229464163367321561e+00 -1.808577811673816313e+02 -3.259704103720378953e+03
3.126603738761653517e+01 4.332941944218529073e+00 5.784648318842935844e+00 6.234934992371626628e+00 -3.038911401170159010e-01 -4.767921458528628023e+02
1.221862953343470224e+02 3.672799148883910192e+01 4.878257937513811271e+01 4.013582689974475315e+00 -4.471565975693442851e+02 -7.452754982657081200e+03
2.272021671127263787e+01 3.703127599447327167e+00 4.918504651662025218e+00 7.168541957811017440e+00 2.308773132764541991e+00 -2.461137225945415423e+02
7.970824744512385429e+00 2.963645510864215460e+00 3.943430813542789792e+00 8.933697420438766912e+00 5.970096303634067958e+00 -1.977662244481080478e+01
9.940178846703041415e+01 1.516454508410535595e+01 2.016251298020587512e+01 4.420655022098520348e+00 -7.150919156362922990e+01 -4.928367374113075130e+03
4.073363985774926022e+01 1.170753211449252262e+01 1.568080603407176987e+01 5.459892951140076001e+00 -4.096812946875560613e+01 -8.176243069213547869e+02
5.976129931327310629e+00 1.009089147442442158e+00 1.308677514836819711e+00 9.633913253843575220e+00 8.571114579344806472e+00 -5.866663368998418449e+00
9.798056194753655745e+01 4.589320002465017012e+01 6.107397401192557140e+01 4.122189179213449073e+00 -7.633308961075961179e+02 -4.788104858668470115e+03
2.593308405389551652e+01 1.385084989788113319e+01 1.854399522307025450e+01 6.178220636943010824e+00 -6.653617463626881090e+01 -3.242720231641503119e+02
3.439074716433782442e+01 3.931337506758517009e+00 5.223270367526051672e+00 6.862280172730631733e+00 1.487950120829118816e+00 -5.793713441516504190e+02
7.865351566061634969e+01 4.227147321679923664e+01 5.620655938590756762e+01 4.720888003724198256e+00 -6.654442249340365834e+02 -3.081197361778356026e+03
6.383053872258457062e+01 3.694637851613802582e+01 4.892669577648101153e+01 5.166735355176986566e+00 -5.433704888804246593e+02 -2.025178435698629755e+03
5.032654105882070894e+01 2.853702569934372235e+01 3.785436219904414656e+01 5.592541750038419579e+00 -2.997678625080809525e+02 -1.254389966363528856e+03
6.901887722280098103e+01 3.899547514209616850e+01 5.184331741344062294e+01 4.984288035411701401e+00 -5.829363820625101198e+02 -2.369812305438983458e+03
4.472724607581022838e+01 1.392608130622208940e+01 1.850293457101480499e+01 5.621339807750329598e+00 -6.423213362776314739e+01 -9.882728696539860493e+02
5.331086886916965284e+01 5.430238659145399716e+00 7.213216231033308112e+00 6.156574504335422304e+00 -4.057851758175742951e+00 -1.409033968683846297e+03
6.608482714106922629e+01 3.162414986496686709e+01 4.152975591429547819e+01 4.731387131589716688e+00 -3.927356061887674628e+02 -2.171611788023445115e+03
7.905159819073304561e+01 4.612708983284451847e+01 6.105057048238921880e+01 4.738848476374404761e+00 -8.541631179596068932e+02 -3.112587187145499229e+03
3.571392991228176328e+01 1.209949764033620490e+01 1.619637562064079361e+01 5.680791338980086813e+00 -4.543953650864116867e+01 -6.257519937806322332e+02
1.035982789480810737e+02 2.894107692101947649e+01 3.849595830866650203e+01 4.171780508273370991e+00 -2.770740875603482323e+02 -5.354311299393154513e+03
9.043296711634750906e+00 1.565595662752331085e+00 2.076634634837972282e+00 9.368387062276141819e+00 8.358639281945324129e+00 -2.890020659827728622e+01
7.920561840328507230e+01 1.629893446806873669e+01 2.166111050614612665e+01 4.842334591029590740e+00 -8.834660523140178157e+01 -3.124774592214350832e+03
3.175039961523591359e+01 1.726736847616004766e+01 2.283283058442978941e+01 6.150948065816010946e+00 -1.134548717877493118e+02 -4.920535367545317058e+02
3.648411619843772602e+00 1.408324734414293955e+00 1.872866831658235753e+00 1.058327312092239758e+01 9.729914099913004932e+00 5.334947435149134165e+00
5.595507739371443989e+01 2.663860193582325309e+01 3.536605152123932783e+01 5.461179455705647001e+00 -2.609474804097473566e+02 -1.553494941959231710e+03
5.079727250207948686e+01 2.893484397036095501e+01 3.847447760910664272e+01 5.595766626855974479e+00 -3.177440326484556863e+02 -1.278191045716205736e+03
9.091503035777176223e+00 4.408093760442777231e+00 5.853471252129511804e+00 8.040957168989425696e+00 6.950118704620829035e-01 -2.933731261571813320e+01
8.555630775503131247e+01 1.900161707679076528e+01 2.524229034029285046e+01 4.618990568755717341e+00 -1.139905578722039934e+02 -3.647950497227760934e+03
8.124544824691021461e+01 4.177291888308804602e+01 5.554350785161540216e+01 4.672016028704065960e+00 -6.462200842617534136e+02 -3.288421029311628445e+03
8.857421683452936634e+01 1.243930866508988409e+01 1.647398669536589821e+01 4.740887671225967992e+00 -5.080603394189481747e+01 -3.910705542816057459e+03
