# SNRtot, SNR330_res, SNR330, evidence220_330, evidence220, nofilter
2.171271904171911160e+01 1.638566997773748568e+01 1.892041229397322155e+01 7.521726950948926849e+00 -1.023087216803314163e+02 -2.237306829832612038e+02
1.884898307624415992e+01 2.306949766941162050e+00 2.635488319147050174e+00 8.161630736757466309e+00 6.209337385896697370e+00 -1.656516803952146972e+02
4.619198941619499976e+01 2.286263606282201977e+01 2.659312056977652006e+01 6.999606391926572080e+00 -8.194043448412992348e+01 -1.054859542003880961e+03
4.670061149464839190e+01 1.213887247048573492e+01 1.363886973907223243e+01 7.088654143637592497e+00 -3.675158138023085286e+01 -1.078483155877988338e+03
1.611406814322845094e+01 4.856075838117183352e+00 5.454058767614401226e+00 8.118764049548241601e+00 -1.806757879498118946e+00 -1.178411949532503513e+02
6.165209258208024323e+01 9.767396183566690482e+00 1.134648547394162854e+01 5.996889795450649707e+00 -2.220764153504328675e+01 -1.888499858765642330e+03
5.195292493789774113e+01 1.315312640781470144e+01 1.606999304715805010e+01 5.946426761120651605e+00 -6.385413142792731378e+01 -1.337562803692363786e+03
7.702865974188240727e+01 1.008677997131570159e+01 1.308693581124432903e+01 5.765667902995133431e+00 -2.629271415349721508e+01 -2.954716809706293134e+03
8.208425483772084874e+01 1.501074486407422270e+01 1.995822323320193803e+01 5.271824447870839592e+00 -6.967350981373184027e+01 -3.356922045022894054e+03
3.284508525822933223e+01 9.738428603907960834e+00 1.097575724758486970e+01 7.434795221374594476e+00 -2.777119053974686835e+01 -5.274094117011222806e+02
6.770502668321285000e+01 3.100565929398802822e+01 3.583932883686492943e+01 5.500432720763165584e+00 -3.490227953614579519e+02 -2.279994917978227022e+03
3.785872677790271723e+01 2.228358218356570575e+01 2.913648378544156259e+01 5.992463863916246858e+00 -1.719665413090462494e+02 -7.046511955128895579e+02
4.872164661306406686e+01 1.511715428190712451e+01 1.688978129269469619e+01 7.072313080469895041e+00 -6.879237647651905263e+01 -1.174909023235094082e+03
7.738989394792879750e+01 1.715115046228494222e+01 2.245964573367379202e+01 5.330300854231658114e+00 -1.053178021598564413e+02 -2.982607441526778530e+03
3.441359271423227284e+01 1.599275148352872300e+01 1.951662391722893730e+01 7.627192521473069142e+00 -9.264919139266025638e+01 -5.801572806414754950e+02
2.001967276514785610e+01 1.104738054925897117e+01 1.458657910549619885e+01 7.493032881154169544e+00 -4.349406197741951985e+01 -1.884032477027467678e+02
8.898365548525474011e+00 3.407223864385199530e+00 4.407635610273459292e+00 9.494675911034601512e+00 6.070127126658489303e+00 -2.760005360853786982e+01
1.633394406478516103e+01 4.940422355759486628e+00 6.405586740454396910e+00 8.838871133264644797e+00 -6.247024157091178864e-01 -1.214084632467105109e+02
4.368598177712659236e+01 2.528254905323905888e+01 2.830887237637295684e+01 6.117701502732196595e+00 -1.490100399767273984e+02 -9.422421008066636432e+02
3.895562047224032654e+01 1.823032968954950661e+01 2.121215363505444529e+01 6.678220485565082853e+00 -9.177798621392003042e+01 -7.467797820795601638e+02
4.022685006049379552e+01 7.527858811406309414e+00 9.606098982205287129e+00 6.404944349225868194e+00 -1.155830511970184560e+01 -7.971093317856700651e+02
5.293810338711277375e+00 3.120479839587672277e+00 4.023424240902588878e+00 9.578493770091499826e+00 6.762289908715917619e+00 -2.021812842068539950e+00
2.847900074026061645e+01 2.255875830158165840e+00 2.666024340290319650e+00 7.690263292288493702e+00 5.469895782155597352e+00 -3.935363404728276464e+02
3.536867294042301779e+01 1.129655679918750089e+01 1.499347284449197026e+01 6.964607691059245376e+00 -4.359734705088200712e+01 -6.134811116742511103e+02
5.984136574623025950e+01 1.758748237548843818e+01 1.971772879818018964e+01 6.162276085322367258e+00 -8.285994662091508189e+01 -1.778504126077995352e+03
5.940487801128761447e+01 1.671215709607039202e+01 1.935465585002129885e+01 6.613899596682853321e+00 -7.204134588678635964e+01 -1.752479364658926897e+03
4.505264610562881700e+01 5.782162644850945554e+00 6.824799469358088899e+00 6.625771603409158494e+00 -7.780803640449477143e+00 -1.002880059450460976e+03
5.990393280771192153e+00 3.468048646720024220e+00 4.604525342551105460e+00 9.275517133341784515e+00 5.604654776782340697e+00 -5.952004720099660418e+00
9.246249182637131980e+01 1.794105731777506918e+01 2.362994995753427929e+01 5.401343920034022084e+00 -1.071177423060058231e+02 -4.262665796261836476e+03
7.009172358575088424e+01 1.469565896223624080e+01 1.936570777208768490e+01 5.391061947718357672e+00 -6.231802504389106190e+01 -2.444434456501598106e+03
1.644548463782582104e+01 8.211258185724236824e+00 9.315131720741772980e+00 8.855187141726535316e+00 -6.674446815369421415e+00 -1.232365813774278820e+02
3.381246910954602924e+01 1.670578738949435404e+01 2.151715264723534915e+01 7.663965119075863974e+00 -8.735207070354549330e+01 -5.596511325329475994e+02
3.411573595078730392e+01 6.785005933717658699e+00 8.816256734112410953e+00 6.972248481709948820e+00 -1.144482975774203481e+01 -5.699513186228659833e+02
1.842468821917005428e+01 3.294335762320200978e+00 3.687927092964794262e+00 8.084297178361413927e+00 4.003686584758618494e+00 -1.577441668777572659e+02
5.994986119245979239e+00 1.595810199423552289e+00 1.913393133500197685e+00 1.006889534212017345e+01 8.684943746829718592e+00 -5.979528175921318578e+00
