# SNRtot, SNR330_res, SNR330, evidence220_330, evidence220, nofilter
4.302370337536738276e+01 2.505878031787558768e+01 3.070257034589930356e+01 7.141017909034895084e+00 -1.729795896013165759e+02 -9.135291249567445675e+02
7.397446300534740260e+01 1.495211463098025106e+01 1.818976930625608190e+01 6.085784921287304527e+00 -7.495603804313012120e+01 -2.724120187355701091e+03
2.767156290831197296e+01 4.853163664959262213e+00 6.963480099784431054e+00 7.865219992701772078e+00 -3.874382345770980507e+00 -3.708672957852787704e+02
9.000282051648866855e+00 1.993850187943335905e+00 2.405338511489583109e+00 9.440243801361020815e+00 8.119347575957267082e+00 -2.851213739556169458e+01
1.686771273127101978e+01 7.764988190457151163e+00 1.039989206149402712e+01 7.944545971191545597e+00 -2.196556064230678373e+01 -1.302694652832865359e+02
5.448609759904290684e+01 2.841525767732141361e+01 3.469301610912815192e+01 6.810010363464210847e+00 -2.291827286508139991e+02 -1.472377014677159877e+03
5.096197168785551668e+01 1.970645493848004648e+01 2.378718075548799860e+01 6.565606899930991780e+00 -1.304115539649173456e+02 -1.286570878047838960e+03
5.129502175563825261e+01 2.123744422238494067e+01 2.452457390780871904e+01 7.309956775350380020e+00 -1.131762436265534006e+02 -1.303599227346646103e+03
3.209264646339826044e+01 2.697561560446201057e+01 3.163922713536092601e+01 6.955780135787779983e+00 -2.931950845110162049e+02 -5.029785774032797008e+02
5.044424479300924702e+01 2.564217605029763547e+01 2.957310836684341027e+01 6.280727107097390238e+00 -2.840222146738802280e+02 -1.260320515259465537e+03
6.943859240536845334e+01 1.303958737370787624e+01 1.500754642897280000e+01 6.004322292036429864e+00 -7.207019693432752661e+01 -2.398868656510391702e+03
5.677820975656669589e+01 8.365902523499173071e+00 1.199179530646637382e+01 6.272690473302710679e+00 -2.011748237478511214e+01 -1.599892150471288232e+03
1.596545982719720769e+01 7.486776042473240800e+00 9.551356913730165488e+00 8.086715694722290237e+00 -9.251963925543737588e+00 -1.154575526378692985e+02
9.181712089253066367e+00 6.863090489545841777e+00 9.735988686248953528e+00 8.454696312953723591e+00 -7.031893058743085234e+00 -3.016151733591328110e+01
1.172526155931248049e+01 2.210687520302388354e+00 2.629354869812833506e+00 8.774274214715726217e+00 5.849200824464309889e+00 -5.675047820809080434e+01
6.581684073033004267e+01 8.551016894912013555e+00 1.081422454898366148e+01 6.452254333371305606e+00 -2.268280085282834690e+01 -2.153937860751761036e+03
5.229292052101914123e+01 1.208153924687199954e+01 1.719609868545675369e+01 6.083026457996343339e+00 -4.682338433294893321e+01 -1.355284367199757980e+03
3.502475276388034331e+01 2.539486030274765582e+01 3.076988676677702017e+01 6.973839190529188770e+00 -2.685837831904597124e+02 -6.013762519764171657e+02
1.380333882958312763e+01 2.110183768032162455e+00 2.729627154017151280e+00 8.861262195255708463e+00 7.068970826625657011e+00 -8.327568031308399554e+01
6.568687840158493429e+01 3.335016477768002829e+01 3.855788728969432100e+01 5.849305424064673353e+00 -3.279977796581192138e+02 -2.145392595963247913e+03
7.651157949615509324e+01 1.502692044480456701e+01 1.735180026273379994e+01 6.357524928521009144e+00 -5.635948103968150491e+01 -2.915020497389175489e+03
6.318974777594694103e+01 1.656956061374948419e+01 2.036520927628236066e+01 6.824056479402367259e+00 -6.325200872226567128e+01 -1.984481710884841277e+03
5.790800729451508744e+01 2.296785570526562381e+01 3.036445073761359126e+01 6.945142632276494865e+00 -8.797232835113169358e+01 -1.664678253301751511e+03
4.875193303478653917e+01 1.315316043568878079e+01 1.879189670352272756e+01 6.999142917252210161e+00 -6.002555343063318105e+01 -1.176385086205101061e+03
3.317250854910565039e+01 2.089394489478886641e+01 2.979276187556407862e+01 6.948833608965784947e+00 -1.422894151476760101e+02 -5.382172606111890900e+02
5.452425824435396606e+01 1.383386786596979867e+01 1.961516138614208415e+01 6.961624787540617199e+00 -4.243124011194483103e+01 -1.474456967439446316e+03
7.109806253616038418e+01 1.434453877127441324e+01 1.761025995054122717e+01 6.563093806757974491e+00 -6.822552636420149952e+01 -2.515476847088831619e+03
1.447020205374143309e+01 4.587921269747200270e+00 5.701279711040747600e+00 8.780717969258242661e+00 2.731577069586512252e+00 -9.270297262899674706e+01
3.759693206560910994e+01 2.626223381674206081e+01 3.200222863863665168e+01 7.328214299276400112e+00 -1.431499173669846812e+02 -6.947742492639584952e+02
4.077931698821040385e+01 1.876504794013139232e+01 2.658007827309173621e+01 6.587031544623419776e+00 -1.286159580345085658e+02 -8.194859459034181555e+02
7.535409831475020859e+00 3.695394296316100391e+00 4.444365323112389632e+00 9.363196898957003356e+00 3.638769186126301847e+00 -1.640079955509053633e+01
4.188893820068075513e+01 1.378322158666263952e+01 1.830138127162252104e+01 7.219505357260005418e+00 -3.542658412286760239e+01 -8.653511706811709701e+02
6.994310996987231022e+00 4.655810013178692586e+00 6.677902730357175187e+00 9.805806582123659965e+00 2.674851123626226013e+00 -1.246979205223359521e+01
4.368407947485151510e+01 1.345666275731907646e+01 1.698400182386598445e+01 7.117576904186768694e+00 -6.600147259956104051e+01 -9.421589986735169759e+02
6.302819329332966447e+01 9.823784089021375010e+00 1.161331799188193692e+01 6.400438455477483579e+00 -3.023545937800689742e+01 -1.974286173801608811e+03
4.056218471206635456e+01 9.910640075873391908e+00 1.421758493063454232e+01 7.434322118214397257e+00 -2.397487289335682448e+01 -8.106550131988400381e+02
4.259034466425703869e+01 1.584191391294056395e+01 2.206503082284350370e+01 7.216744030067653526e+00 -8.625576978794518368e+01 -8.949783282010491803e+02
7.678536716984454813e+01 1.494182186686260749e+01 1.787081671741756494e+01 6.145175745124142885e+00 -5.007745151696962438e+01 -2.936005904594866024e+03
3.003430472751484004e+01 6.393511075118121667e+00 9.037362047691738454e+00 7.719741768068229426e+00 -1.145789830491391115e+01 -4.390393291235554898e+02
5.734265698107445530e+01 9.486853034675901242e+00 1.149554889080885722e+01 6.947213103580566873e+00 -2.241335579359336450e+01 -1.632099753715528777e+03
8.942164975886990419e+01 1.675909891097586879e+01 2.201435008289175599e+01 5.958378613894809384e+00 -1.113398120240978102e+02 -3.986125321689944030e+03
2.731994871166149608e+01 8.525815558417560780e+00 1.190948004043849195e+01 8.021007635682884995e+00 -9.499364052124079194e+00 -3.611993976948526779e+02
1.857753863362396274e+01 2.530120958859404023e+00 3.623547110337005162e+00 8.108018549820615206e+00 5.182213476820143327e+00 -1.605720697328407596e+02
8.750549360808118848e+00 5.289685643000512805e+00 7.389539947594446545e+00 8.751911586109557106e+00 4.685097788965464360e-02 -2.629565594891501945e+01
3.724847490488713930e+01 8.952951185646970345e+00 1.035057606386511608e+01 7.111445994769116652e+00 -1.949257466069899181e+01 -6.817340402609487455e+02
4.695584464705659400e+01 1.617898050438176583e+01 1.911683787629717557e+01 6.571190187106361158e+00 -7.728867356670004085e+01 -1.090435272150202081e+03
5.682401878463449130e+00 2.615158985743216924e+00 3.202011826225504620e+00 9.852635301840489745e+00 7.064773846002287527e+00 -4.154444445127802865e+00
5.406797915610573568e+01 2.538835125004724347e+01 3.308814351688086930e+01 6.836655756814138840e+00 -1.619771729939645581e+02 -1.449682783903487461e+03
3.045033805754415823e+01 5.718874467002087236e+00 7.799136072586107638e+00 7.397389413335694996e+00 -5.230662779808101348e+00 -4.516211428003064157e+02
2.352337784526390507e+01 3.811210474231754297e+00 5.206316626338263198e+00 7.712853410900994966e+00 2.123108050275956948e+00 -2.646842515164717042e+02
2.686465297997063217e+01 1.026653270967357479e+01 1.435019842517528943e+01 7.554743377391289982e+00 -3.352349600090048654e+01 -3.488643887580677756e+02
1.582467724672821241e+01 5.272159037200849774e+00 6.151073098539700190e+00 9.118861071992306222e+00 -6.281410192310943330e-02 -1.132198038725041442e+02
1.516870427913123009e+01 8.523326596525183874e+00 1.012288686826284945e+01 7.994942251747172435e+00 -1.638955801602077855e+01 -1.030543936448123787e+02
5.849659548337541537e+01 1.342852296301475334e+01 1.562970264276587251e+01 6.651159472201770839e+00 -3.970973881194728250e+01 -1.698935440463774057e+03
2.143425302555527523e+01 4.570655772238400694e+00 6.431385852944053738e+00 7.789299238955128324e+00 1.494802862259365206e+00 -2.177232002727081124e+02
4.870740557754857747e+01 1.668812467910805353e+01 2.394089812920496385e+01 7.223109424983642946e+00 -6.747618236721528717e+01 -1.174215277938850477e+03
8.022016451843049367e+01 2.201204151503489825e+01 3.101037230829005864e+01 5.850797033928135882e+00 -2.024736952959820826e+02 -3.205646996572972512e+03
5.513821658415660920e+01 2.368215164365971148e+01 2.929210401556730403e+01 7.020338246931117077e+00 -1.284081820784343222e+02 -1.508121062931626739e+03
4.375755770210013651e+01 1.556056657159448875e+01 2.144948016745723862e+01 7.338972786967358886e+00 -4.875382930759026578e+01 -9.453715269172568014e+02
3.147642354114164931e+01 1.144842605706915428e+01 1.629045645877056003e+01 7.070804227439641210e+00 -4.176680043806569387e+01 -4.833922183616134589e+02
1.281351729631572667e+01 1.313099003599984105e+00 1.851135184885127627e+00 8.627390737004965615e+00 7.715171539219204178e+00 -7.010271164243647490e+01
2.630614827209896234e+01 1.243039177081996094e+01 1.431750722393952735e+01 7.393416209358172786e+00 -5.196002402185003888e+01 -3.340163173477729401e+02
1.534673394270866531e+01 3.218018933604543275e+00 4.439643093575868171e+00 8.969626231241415226e+00 4.817467113494474873e+00 -1.057707202450884552e+02
5.224259926237437845e+00 9.630964323859674270e-01 1.123779295507657316e+00 1.023837740930031615e+01 9.301064336880223493e+00 -1.656044779390533961e+00
3.796930573752303673e+01 1.713791487763725385e+01 2.340820812667780260e+01 7.492269224651392001e+00 -6.492652307824027957e+01 -7.088436879856952828e+02
2.262619559533735369e+01 1.533962975227604630e+01 1.830060030383939562e+01 7.426616297355407070e+00 -7.596938490341028682e+01 -2.439819624501770932e+02
1.887305075371008556e+01 1.705900324385282385e+00 1.967118360246082220e+00 8.585207342463736069e+00 7.161489661079856184e+00 -1.661056212670037837e+02
4.150546870321463189e+01 1.726523684934573666e+01 2.455563099077813760e+01 6.200848919234323908e+00 -1.055096798075104374e+02 -8.493615650277098439e+02
4.787841800450300411e+01 1.405130465226658920e+01 1.895371657078744576e+01 6.554670979910219408e+00 -8.876987238693922677e+01 -1.134181054197904132e+03
2.344802207008801176e+01 6.733299717789663852e+00 9.615331094937968004e+00 8.270176442110740211e+00 -4.463636844625722411e+00 -2.629144683906125692e+02
