# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
4.749123536111595456e+01 4.922927014310149474e+01 2.825199786418608028e+00 7.345023968414365889e+00 5.605262245022814227e+00 -2.031667838726704645e+01 -1.115718316953400745e+03
6.030898310189162892e+00 5.574423746777050326e+00 6.043955566410429414e-01 1.081879781256874651e+01 9.839451904551795636e+00 8.732297258256339845e+00 -6.195466104866587997e+00
8.391204236862191124e+01 8.460243820608832266e+01 8.227958843759262120e-01 6.353399999181212898e+00 4.867007698177930664e+00 -6.243078205886654786e+01 -3.508625026127645015e+03
2.602797901985099216e+01 2.612397405514818516e+01 4.047446776706284055e+00 8.720212506280105913e+00 6.712956347585746109e+00 9.851671899295024737e-01 -3.267374448198470418e+02
3.110397415381895314e+01 3.665574497575293123e+01 7.288053779160041046e+00 7.902382624103961639e+00 5.116003031825320235e+00 -1.048847619888250016e+01 -4.717382029716640091e+02
4.166331857605030109e+01 5.711402506865373141e+01 1.955835909822263119e+01 7.149175925522899711e+00 -6.928203838872825315e+00 -8.547518527485033246e+01 -8.559256562756742142e+02
3.388204108688232452e+01 3.508664274068647870e+01 5.058855916393534713e+00 8.252001364198152444e+00 5.893405801281528689e+00 -1.699153337316518630e+00 -5.620059529975362693e+02
1.522074106973366092e+01 1.556319663275244736e+01 8.101773798805816940e-01 9.598667258632348265e+00 8.360561740374906847e+00 3.409863462145863888e+00 -1.038450782468838440e+02
6.686561152742078207e+01 6.690833983053907730e+01 3.265681416541543758e-01 7.022886733910356227e+00 5.540872277938757584e+00 -2.131198695214647643e+01 -2.223514601358918299e+03
7.808804450531598107e+00 7.443126357040001473e+00 9.944827039660745216e-01 1.039437481579443201e+01 9.149207715777816219e+00 6.836900439372339378e+00 -1.849831236426638270e+01
1.196160089659660741e+01 1.313488034222733702e+01 1.441881571170593679e+00 9.622744744393857630e+00 8.373008185924993185e+00 3.597873663680787537e+00 -5.954954689567571080e+01
7.616859193086934710e+00 7.205025526090527599e+00 4.939856699524822758e-01 1.043546854808801427e+01 9.158207196964870178e+00 7.052336600839339553e+00 -1.701787087460181169e+01
2.344453860725228012e+01 2.839544719207398771e+01 9.231671025083659998e+00 8.305076672987343755e+00 4.549977935689797803e+00 -3.853903848657545428e+00 -2.628327941444166527e+02
1.179619259109631031e+02 1.203012798244008366e+02 1.245937372627545692e+01 5.563336011387524316e+00 5.926537030198213429e-01 -1.186386825114412886e+02 -6.945517581202719157e+03
1.998497909001197570e+01 2.069844252992669809e+01 1.598296400686324281e+00 9.254186724321272095e+00 7.958136832029599539e+00 6.598984066563691187e-01 -1.877092935050532958e+02
2.148371000260702601e+01 2.171592682105783467e+01 2.657154291683256342e-01 8.985272706481309157e+00 7.562825853546370602e+00 7.932111440428055715e-01 -2.187844966290039395e+02
6.651040140482626839e+01 6.502986951180392339e+01 1.775153697909402695e+00 7.199839152823189536e+00 5.666972278485196135e+00 -1.869838261719144867e+01 -2.199826346406503035e+03
9.899370478491018588e+00 9.179565667451267785e+00 2.169982757449913091e+00 1.026291301801213507e+01 8.695482287023519774e+00 6.445621162980302188e+00 -3.700836682615507556e+01
3.176940962055635964e+01 3.367082282090598966e+01 6.965181712148798887e+00 8.324227766056436550e+00 5.066927256378066957e+00 -1.977813392104178281e+00 -4.926572927102947688e+02
4.566206096170564877e+01 3.674198649437572328e+01 9.929067686068362875e+00 8.681373970058075429e+00 3.877975820290519682e+00 7.770383841508357037e-01 -1.030521504526207082e+03
2.496635589760565921e+01 2.858226975973941109e+01 6.283141201199348380e+00 8.557587444544505928e+00 5.471849394953487433e+00 -2.963107420777227219e+00 -2.996690622938997421e+02
1.325239091464248808e+01 1.100356259066269438e+01 2.596813745387138717e+00 1.008649499905615521e+01 8.016358494685922764e+00 6.070928238958880563e+00 -7.582253136819473127e+01
1.544992919859219072e+01 1.597788039913635139e+01 9.107459789876042322e-01 9.434247877642913949e+00 8.145028757492946525e+00 2.435153407594121244e+00 -1.073597550117011110e+02
4.479949989830761758e+00 6.256357686429123710e+00 2.266872501642411386e+00 1.056029174273592552e+01 9.797817549162553874e+00 7.728145307565391420e+00 1.955425153362345014e+00
3.093758892275195294e+01 3.109429430148707851e+01 4.151653475283069383e+00 8.452068247292217507e+00 6.528888921759007147e+00 -5.748752404391887616e+00 -4.665768030675375257e+02
7.191073580873672100e+00 7.621004616734201598e+00 6.584277465044071631e-01 1.040058022090678769e+01 9.466271518171968324e+00 6.928286999517951017e+00 -1.386536851371498535e+01
6.061489852779593690e+01 5.493300490222909360e+01 7.288724556479879269e+00 7.594543415584182000e+00 4.432174764676515721e+00 -1.173508796898717499e+01 -1.825092560658444654e+03
7.624212294825324143e+00 7.104751229331394136e+00 8.695189789439441430e-01 1.044928698563363767e+01 9.129046971768019603e+00 7.178692084414567631e+00 -1.707390544922814968e+01
4.278506416482915853e+01 4.313908190103787632e+01 2.153826035903269265e+00 7.695982717136173434e+00 6.055008863739614888e+00 -8.590376327412476698e+00 -9.032904566852192829e+02
1.884367932402185986e+01 1.612534542948437988e+01 3.929667512123032669e+00 9.581029909730455429e+00 7.331899490082457227e+00 4.550305573112316537e+00 -1.655517241242297928e+02
1.670706994415155222e+01 1.931485993111170174e+01 3.337956295396964368e+00 9.112224899311357262e+00 7.518409205150416774e+00 -2.195523072441806001e+00 -1.275726919503314036e+02
6.240530698135261645e+01 5.471743457428651425e+01 8.995833745422254779e+00 7.719363690223449481e+00 4.804950986749050301e+00 -3.658582180076825896e+00 -1.935220768609374090e+03
3.682206741749758372e+00 4.610320962304040648e+00 1.179755507864526320e+00 1.084393285516874528e+01 1.012083127960508833e+01 8.972577401668074160e+00 5.211077864560978767e+00
8.843566648645355599e+01 1.069428854523294916e+02 2.505561111772149374e+01 5.713437264102242175e+00 -2.112737246175898065e+01 -2.658427836003048128e+02 -3.898443152342566918e+03
1.073900926576881254e+01 8.639881521755443217e+00 2.429649841104274177e+00 1.039928164530861032e+01 8.437819111327026889e+00 7.197528666551833432e+00 -4.567275889607953587e+01
3.038943421501805986e+01 2.800611594804495752e+01 7.517090078080841842e+00 8.691873641225983604e+00 5.870505920283608070e+00 -2.056813847813671270e+00 -4.497684548454004698e+02
1.733415947807849022e+01 1.754744482290426788e+01 6.926464259170662885e+00 9.208086285812536076e+00 6.678711262469149368e+00 3.392188389170842200e+00 -1.382461412966744945e+02
