# SNRtot, SNR221, evidence220, evidence221, evidence220_221, nofilter
1.572879447137987938e+02 2.108648701718009022e+01 -4.715421776176627056e+00 -1.958253629895797232e+01 3.544246045191751460e+00 -1.235775837503645926e+04
3.579631281975729280e+02 4.798959557327816583e+01 -4.270033723576176499e+01 -1.036884942203025730e+02 -6.129028924368228992e+00 -6.405681017338695528e+04
1.243525287462155404e+02 1.667106775240701921e+01 -9.848902840112518930e-01 -1.172096773276045667e+01 4.748781534040830365e+00 -7.719785301680126395e+03
6.440807739393943621e+02 8.634737329934002048e+01 -1.446372245362441333e+02 -3.357032866698731937e+02 -2.953631023590881099e+01 -2.074080312780755630e+05
9.162237811811254460e+02 1.228316696607749634e+02 -2.945690007019736640e+02 -6.793256956841506735e+02 -6.316815301055602561e+01 -4.197210181998104090e+05
4.319872687290667557e+01 5.791349076508991445e+00 5.915046748122717801e+00 1.923693205573465903e+00 8.068994020936731459e+00 -9.210746006109399104e+02
2.134757257800218255e+01 2.861918711147489081e+00 7.709079270307309883e+00 4.602334004335636664e+00 9.350846653525188401e+00 -2.158690263774807363e+02
2.400871448312074463e+01 3.218679264763102399e+00 7.467536261490576699e+00 4.231325413789674528e+00 9.177418729035311529e+00 -2.762187844569512549e+02
1.303355186442556032e+03 1.747316507168039550e+02 -5.971979662602184362e+02 -1.374676445220137794e+03 -1.305034412491416447e+02 -8.493553806122459937e+05
1.648555606987286183e+03 2.210102399588870128e+02 -9.557184395283122740e+02 -2.199288097522166936e+03 -2.099881943037630094e+02 -1.358855804263500962e+06
9.831364656532213075e+01 1.318021820224998386e+01 1.523645267284145177e+00 -6.456720178457330483e+00 5.692892192961574338e+00 -4.820796149376483299e+03
5.464013504670309374e+01 7.325218092052491414e+00 5.051211753846835961e+00 5.220670572812085020e-01 7.488381401173921148e+00 -1.480781777851921333e+03
3.751858562069766322e+03 5.029852542312448236e+02 -4.950497328422332430e+03 -1.139115701345064917e+04 -1.091833368269911944e+03 -7.038209344486998394e+06
8.146689269934337290e+02 1.092169255794218117e+02 -2.325615888315146833e+02 -5.370778304358817650e+02 -4.930258612221710024e+01 -3.318307399032072863e+05
7.243704804879274661e+02 9.711124880060278031e+01 -1.834865241598843397e+02 -4.246160535042251354e+02 -3.829119062535841778e+01 -2.623443061000463786e+05
1.398540441548110493e+02 1.874924675083401127e+01 -2.659572137928536861e+00 -1.523575253982791011e+01 4.187432505612098232e+00 -9.767586432118863740e+03
3.182862566348077848e+02 4.267039683485648283e+01 -3.303536667746619315e+01 -8.196530289060272878e+01 -3.813206436854026826e+00 -5.064108018019030715e+04
1.768951173475236942e+02 2.371508256489962108e+01 -7.253425104559803493e+00 -2.500905841310927968e+01 2.796750618786850939e+00 -1.563395086958803404e+04
3.336000059998736106e+03 4.472340336220569270e+02 -3.913884563998380145e+03 -9.005897957057513850e+03 -8.631930167169304013e+02 -5.564436209754676558e+06
4.858378608323216241e+01 6.513286039522229842e+00 5.506835454119378248e+00 1.280431633102370848e+00 7.788530116431018335e+00 -1.168201733981577036e+03
1.105692116308128874e+02 1.482323549840645427e+01 3.884703495841286269e-01 -8.841323180642005397e+00 5.245946831696429058e+00 -6.100784879220688708e+03
1.854060958597724266e+03 2.485608951383403280e+02 -1.208903246403107460e+03 -2.781781023519086830e+03 -2.660326298523839910e+02 -1.718759028697047150e+06
2.700158854248314100e+01 3.619912812010691816e+00 7.207606376279975358e+00 3.841493795961157254e+00 8.990606514054432452e+00 -3.525524907997237278e+02
1.465828605433068105e+03 1.965133177505622371e+02 -7.555179618231950371e+02 -1.738766673224524084e+03 -1.656262956675198552e+02 -1.074314759851817507e+06
3.841055121235296355e+01 5.149432087346457187e+00 6.283953066220931305e+00 2.481688441148182100e+00 8.328872864641471807e+00 -7.256948211093400687e+02
1.898139341418978887e+01 2.544701734926968495e+00 7.935227432002559311e+00 4.959673325714720526e+00 9.512905181283780820e+00 -1.681562468630691001e+02
7.772719379673443996e+01 1.042033746361804880e+01 3.268700605653353186e+00 -2.840048407699929722e+00 6.478887995683955126e+00 -3.008767926648501998e+03
2.085184159773918054e+03 2.795459549904390997e+02 -1.529117526789932754e+03 -3.518550239746655734e+03 -3.368461677376978969e+02 -2.173984499684921000e+06
2.966235591293760990e+03 3.976623154401619900e+02 -3.094333898948850674e+03 -7.120101840152211480e+03 -6.824045073092030407e+02 -4.399264801127815619e+06
6.911185986350032806e+01 9.265340318335393732e+00 3.949293834659076019e+00 -1.493550761325961762e+00 6.833866011878723334e+00 -2.376234185786998751e+03
