# SNRtot, SNR200, SNR220, evidence220, evidence200, evidence220_200, nofilter
2.834886901916149426e+01 2.616736004860192200e+00 2.610129798233171883e+01 7.185890923933184737e+00 7.158350238265968279e+00 9.529345277701773753e+00 -3.898387862237324839e+02
8.964699519033385400e+01 8.274845810727642359e+00 8.253955151092557685e+01 4.288477778458269718e+00 4.081824803899387177e+00 7.941332442361062505e+00 -4.006301472218815888e+03
1.147304229228531938e+02 1.059016598906093165e+01 1.056343007660807132e+02 3.382309192715010404e+00 3.169833376352237941e+00 7.394818719058129375e+00 -6.569544570919324542e+03
5.942433204664063595e+01 5.485149658919665328e+00 5.471301860762093128e+01 5.476055595287911082e+00 5.289508596348933445e+00 8.657802925454406662e+00 -1.753635218485646192e+03
3.341675763165922319e+01 3.084526328064275624e+00 3.076739138897378112e+01 6.831946960454867934e+00 6.744259524072691470e+00 9.365307479262032331e+00 -5.463494441974727351e+02
2.404956170565704383e+02 2.219889406302709745e+01 2.214285077826343979e+02 -1.687189409591532741e+00 -1.906549645245266600e+00 5.184506012836269662e+00 -2.890708051060123034e+04
2.215097669709674619e+02 2.044640942357657565e+01 2.039479045812422271e+02 -8.181768129900759412e-01 -1.037178702270192154e+00 5.479146100078101433e+00 -2.452129803065709712e+04
1.468322492695890560e+03 1.355331787940600066e+02 1.351910119945557881e+03 -1.745126774331408797e+02 -1.735265841564558968e+02 -4.282253491855455785e+00 -1.077973480877227848e+06
6.451765806608646017e+02 5.955287976274286166e+01 5.940253267835372526e+02 -3.244746275760542886e+01 -3.266649244842428601e+01 1.495690006659433857e+00 -2.081144197155135334e+05
4.276684040163047484e+02 3.947583623791637564e+01 3.937617561855020085e+02 -1.288293195374342837e+01 -1.310366038002621458e+01 2.959340382327880548e+00 -9.143814149581758829e+04
9.733073949914141849e+02 8.984092108045750535e+01 8.961410886588294034e+02 -7.600072660746782560e+01 -7.604268854600304905e+01 -5.914001014669294509e-01 -4.736516521713773836e+05
3.628094533506088055e+02 3.348904532468234407e+01 3.340449894600845369e+02 -8.436298672679159338e+00 -8.656779686174630228e+00 3.570154162356149019e+00 -6.580335931917473499e+04
8.256984163494041695e+02 7.621590737031228002e+01 7.602349283884292390e+02 -5.428416568791666208e+01 -5.445770858539793835e+01 3.691022404207591201e-01 -3.408769469798479113e+05
