# SNRtot, SNR221, evidence220, evidence221, evidence220_221, nofilter
3.161096328470895944e+00 1.788857150994057399e+00 1.062449235945876502e+01 1.121189531576500897e+01 1.157230561557347315e+01 6.994136110118575722e+00
1.637281839192576172e+01 9.265340318335393732e+00 4.099336566673130733e+00 7.408334304094038814e+00 1.035949147839351170e+01 -1.220441899384366025e+02
1.841381827462655707e+01 1.042033746361804880e+01 2.983406862740719756e+00 7.033827734862534875e+00 1.025212178581411671e+01 -1.575439506164308341e+02
7.194168201080463732e+00 4.071163259419575908e+00 8.530839862656415917e+00 9.760320129148642110e+00 1.103979490814351117e+01 -1.388762694366399408e+01
3.998329182048534935e+00 2.262645299643732066e+00 1.014647165497577141e+01 1.091986456962329832e+01 1.144420424818651405e+01 3.997082985044211334e+00
6.704530064671601508e+01 3.794078162763224071e+01 -4.789506688391876565e+01 -2.461305117962750977e+00 8.421771824910671000e+00 -2.235545768295214657e+03
4.713105031378714926e+01 2.667135310883175237e+01 -2.103377208189827741e+01 1.983353905784321913e+00 9.116720747071751063e+00 -1.098677550731313204e+03
2.745448114800605026e+02 1.553642781654776286e+02 -8.604375697895634403e+02 -1.217869539644054129e+02 -2.285985874053533706e+00 -3.767543635420192004e+04
1.206341819253012062e+02 6.826660644529603417e+01 -1.640121003356670428e+02 -2.014896707104785989e+01 6.358109620988229516e+00 -7.264312523284278541e+03
9.537390550139313916e+01 5.397187404185402215e+01 -1.012362145762718342e+02 -1.072192173651257363e+01 7.380373090097954503e+00 -4.536100524185279028e+03
7.027106019117244387e+02 3.976623154401610236e+02 -5.646224776533303157e+03 -8.130679339366887461e+02 -5.296887741387514836e+01 -2.468891046184600273e+05
4.939867286038560223e+02 2.795459549904390997e+02 -2.789567910236955413e+03 -4.007567429949229449e+02 -2.311797805140285789e+01 -1.219994536172607914e+05
3.555151712289036592e+00 2.011852187520441593e+00 1.039670789800053008e+01 1.107550583681680578e+01 1.151064865735083309e+01 5.670849260358830080e+00
8.090977540990813566e+00 4.578665604833050295e+00 8.113904431946895812e+00 9.451318116159756144e+00 1.094782627736011982e+01 -2.074155767535420836e+01
2.070924475765163564e+01 1.171931403758622992e+01 1.648062855655096470e+00 6.632910725755689185e+00 1.014009482987161448e+01 -2.024460081071061950e+02
