# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF, SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
2.227944399630101486e+02 2.228032154743552553e+02 2.119823872348268878e+02 2.119871504732319636e+02 1.259408962921379427e+01 1.266871964982852283e+01 -4.704102605644695359e+03 -4.704967141002774952e+03 -4.964275873614438751e+03 -2.521404388845086942e+04
8.059134017898513491e+01 7.888562036297021507e+01 7.614378469344090661e+01 7.451526780475745682e+01 8.430103741310682963e+00 6.350296237322489823e+00 -4.007149148514196781e+02 -4.022086276369877851e+02 -4.182858436067207890e+02 -3.644480054841656511e+03
1.684445064675882122e+02 1.699655979461510356e+02 1.739402662374267834e+02 1.754731647028407906e+02 8.760842551922387145e+00 7.336562061726414896e+00 -3.913635810179849273e+02 -3.926818599259401026e+02 -5.961947919063654808e+02 -1.456883042287464741e+04
2.473087120572863284e+02 2.464603655211754472e+02 2.613372940017797532e+02 2.604520429741851331e+02 1.811876669718436972e+01 1.923553527160335008e+01 -6.372983795893582055e+02 -6.408419475786008661e+02 -1.066314256342984208e+03 -3.096058409976468101e+04
1.974045974195809094e+02 1.986767526186614532e+02 1.655700175294646215e+02 1.667056124028079864e+02 5.325683307823250345e+01 5.442248411402737673e+01 -4.914614749755489242e+02 -5.440319327812491110e+02 -6.850653368394716836e+02 -1.987275069623365562e+04
1.289558525835947762e+02 1.289211318482349498e+02 9.503570875875922752e+01 9.504879935077740072e+01 3.860784819659450307e+01 3.845910627016664307e+01 -8.713394707619917199e+02 -9.051240325384039807e+02 -8.937639361933632927e+02 -8.706497964579415566e+03
2.399988472256498255e+02 2.403631799847470063e+02 2.340018332122177753e+02 2.343525552175192672e+02 7.189911404771974546e+00 7.873190027189821194e+00 -1.144048770996625308e+03 -1.141361801012913702e+03 -1.496431825202221489e+03 -2.919466388970705157e+04
4.711029601986144399e+01 4.689526431937146356e+01 4.196419047159570681e+01 4.174525861847228470e+01 6.245140348632431504e+00 6.090034224724519163e+00 -3.687894345082313521e+02 -3.717560722370888584e+02 -3.818524265271213380e+02 -1.473172758470472218e+03
1.319693235793004362e+02 1.321112948821145778e+02 1.272545284549871383e+02 1.273846062866146269e+02 5.845707946263150490e+00 6.198395856642981094e+00 -5.938010008773431991e+02 -5.941348665095491697e+02 -6.625178049731758847e+02 -9.093386618593202002e+03
3.134771016276595788e+02 3.127940110344821960e+02 2.963856797574033521e+02 2.957511401702529383e+02 2.167894952794340568e+01 2.040469159380536368e+01 -4.347527163245494194e+03 -4.344551466093364979e+03 -4.709207989861227361e+03 -4.949845068972183799e+04
3.232400671747064393e+02 3.234040422995939252e+02 3.081660100594485812e+02 3.083622516415700261e+02 2.035068954813715791e+01 1.997607757155716968e+01 -4.225612566366079591e+03 -4.219848644492573840e+03 -4.760532028661555159e+03 -5.263333503300154553e+04
