# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF, SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
1.496538527156982070e+02 1.489053565543108562e+02 1.445104181795592808e+02 1.437930338217510950e+02 1.181591950135979729e+01 1.106584438008319005e+01 -7.202616311431502254e+02 -7.210619918669679009e+02 -1.067160764179539910e+03 -1.158701970890376106e+04
3.238591101265180328e+02 3.239982416757333112e+02 3.240589696842950502e+02 3.241974566593289637e+02 -4.410778365283274383e-01 2.589291572185540291e-01 -2.672092647396979373e+03 -2.666550114045037390e+03 -4.682601261486861404e+03 -5.282069740728302713e+04
4.675864619014294732e+01 4.748050905394526922e+01 4.216324791165489216e+01 4.295671085448144311e+01 5.249709689706411275e+00 5.285629353952495002e+00 -4.166810574977909027e+02 -4.207334485005698639e+02 -4.371995492498622298e+02 -1.492088927359905938e+03
1.392278531899044367e+02 1.403035651328603137e+02 1.159234455110071735e+02 1.169844894139239955e+02 3.000588894785132510e+01 3.087395213922302517e+01 -5.279366931885411987e+02 -5.574953013318724970e+02 -6.484607510637765699e+02 -1.007870292132408031e+04
1.343460776135659955e+02 1.343355609378670579e+02 1.146294965033463313e+02 1.146729350290040514e+02 3.169299257578410334e+01 3.148994404861462115e+01 -2.337251627416669635e+03 -2.349918312046451774e+03 -2.559154449548763750e+03 -9.389157027635781560e+03
2.107414759144461414e+02 2.098670618573507909e+02 1.994327864639620884e+02 1.986368833820504278e+02 1.608915470641213119e+01 1.431356638234452383e+01 -5.141602000148893694e+02 -5.172877598521704385e+02 -9.699391799847942366e+02 -2.258016944426405462e+04
2.517115202589054093e+02 2.507780479720941287e+02 2.563991823607631204e+02 2.554708588384213783e+02 2.313159103715571874e+01 2.326335404963386821e+01 -8.044216571660090267e+02 -8.240251507539403519e+02 -1.747238650492436818e+03 -3.207956393376996857e+04
3.429031092775176859e+01 3.444356846719546894e+01 3.385378543467664514e+01 3.400012595355698863e+01 3.177729988978467701e-01 7.319357107822834774e-01 -3.910174169229321706e+02 -3.924338420870530513e+02 -4.098815567701095119e+02 -9.764537494957548915e+02
1.122004448093849476e+02 1.127719244228470359e+02 1.011930900420949513e+02 1.019952493266224849e+02 1.631108822309550987e+01 1.516577373038958143e+01 -1.190280526288948977e+03 -1.212765119817418963e+03 -1.307806937438169598e+03 -6.698232711953425678e+03
7.004555779852925923e+01 6.976208380308328572e+01 6.538073815902689034e+01 6.511788927689947570e+01 1.664432795656674813e+01 1.648297527729473089e+01 -4.861669819294698414e+02 -4.942477753587044162e+02 -5.569680640217583232e+02 -2.823656600448427980e+03
2.457190863358059687e+02 2.468631623920846607e+02 2.436662996385348094e+02 2.448113575821732582e+02 5.798891023221858454e+00 6.141948842751032700e+00 -8.366846072024482055e+02 -8.458694980018701699e+02 -1.961395032881365296e+03 -3.058494203341155662e+04
2.473425932831463285e+02 2.491715558539489450e+02 2.585481421252202381e+02 2.603824563840985320e+02 2.581672770097307179e+01 2.493866119323523733e+01 -2.543313848328117729e+03 -2.569640583677914947e+03 -4.136493402319944835e+03 -3.100381824720420627e+04
1.460577777732304412e+02 1.457594860350587851e+02 1.680787364178550547e+02 1.678173854544378401e+02 2.951875987778804244e+01 2.953164046675165011e+01 -4.126737697962548168e+02 -4.380005756914433164e+02 -1.290799658916541830e+03 -1.105945497117208652e+04
1.717055181257329934e+02 1.716688032222271829e+02 1.452223713482628682e+02 1.451775596967273998e+02 4.031465449540864654e+01 4.031968535487280292e+01 -3.994681305282131802e+02 -4.631914474000446944e+02 -7.001361257986354758e+02 -1.513477678513486899e+04
1.739649792048678023e+02 1.736426624144336301e+02 1.733045107890945644e+02 1.729820208498718728e+02 1.938486251267879323e+00 1.838983313979715151e+00 -5.461910389810979041e+02 -5.452428847080882406e+02 -9.541034078678519563e+02 -1.552151322973587412e+04
