# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF, SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
2.810304879237524744e+01 2.945981390254971188e+01 3.173999258193405737e+01 3.323725486847719424e+01 9.511990373736161075e+00 8.337147187262392123e+00 -3.941903966684715783e+02 -3.963190779549004219e+02 -3.987173276399515203e+02 -7.841093466577980280e+02
2.174406760260667397e+02 2.173827949423678660e+02 2.026929366220932422e+02 2.027601274177670234e+02 5.172261561308847888e+01 5.121088917239637794e+01 -5.326238376608628187e+02 -5.634925849229333608e+02 -5.788945043676985733e+02 -2.405266185734323881e+04
5.817721358547606059e+01 5.698839458938806501e+01 5.811188189351578615e+01 5.691228897214093507e+01 -1.081078504672171488e-02 7.175898799831357255e-01 -4.040609184044437825e+02 -4.049121643164137936e+02 -4.067396079482062419e+02 -2.061151368503337380e+03
8.562076883256548854e+01 8.598244309832195142e+01 8.572521642909318018e+01 8.593360092007301887e+01 2.009961963555439723e+01 2.073573910180435220e+01 -4.600270915787780268e+02 -4.699021467091709496e+02 -4.713209589432028110e+02 -4.071905664870748296e+03
8.941090933720323619e+01 8.938613165479947043e+01 9.663444359003588602e+01 9.656063336393282270e+01 8.539042168503627295e+00 9.080050295126211424e+00 -3.885918890829782413e+02 -3.887428166470817814e+02 -3.941239904106116114e+02 -4.381089186977545069e+03
1.985864788286659461e+02 1.966609683451910371e+02 2.053463327742909144e+02 2.034627343853156276e+02 7.264429916830771994e+00 7.846750279162237440e+00 -4.129689826351467445e+02 -4.194650783129440583e+02 -4.379501677978771568e+02 -2.011480702725572701e+04
6.796588468775952663e+01 6.890461721215947932e+01 8.084060380293807668e+01 8.152511916061655484e+01 1.432528280451757219e+01 1.492029833033472386e+01 -4.136353919243982205e+02 -4.141835868799787477e+02 -4.160248560362527996e+02 -2.722200027796160612e+03
5.223604455608751351e+01 5.306398437151130310e+01 5.118253275027245763e+01 5.213309720891860621e+01 6.029584365102778065e+00 4.876750292775418494e+00 -3.930928905997986931e+02 -3.954459890270659912e+02 -3.973386242922263705e+02 -1.747383882830016091e+03
8.760768453075402817e+01 8.758813376294155262e+01 7.647643752379124749e+01 7.642152499895507844e+01 2.255063540534802158e+01 2.266025832260854855e+01 -4.783555572312578192e+02 -4.861548146809500395e+02 -4.878460996965865775e+02 -4.231845930003641115e+03
3.020593708914584496e+01 3.136270702702331548e+01 2.906509906862530457e+01 3.025285073431353311e+01 2.702351945751114481e+00 2.825027837038609491e+00 -3.882409353891755472e+02 -3.899741466989250398e+02 -3.922353681541309243e+02 -8.311160627815976341e+02
3.279118324267340085e+02 3.292344480741982125e+02 3.292103144616598911e+02 3.305532800098335429e+02 6.135767576421828906e+00 4.037871806767574512e+00 -7.217128463981889581e+02 -7.355750511784842729e+02 -7.363921922461730674e+02 -5.416493760520787328e+04
1.714468531599418384e+02 1.696754968006304125e+02 2.169352149970300729e+02 2.152892126408947036e+02 5.383689760683596148e+01 5.481851451951529697e+01 -5.196205408256645342e+02 -6.431361358547873124e+02 -6.663457133118527054e+02 -1.508946716611892225e+04
2.788523205353267826e+02 2.787270816510921918e+02 2.622053154213249968e+02 2.620841723678743165e+02 2.330473258439792161e+01 2.316843543046641329e+01 -6.041594335374462617e+02 -6.067192566271912710e+02 -6.183482703828196918e+02 -3.926256256080254389e+04
9.306971999638921034e+01 9.323448870670340227e+01 8.003612567896918506e+01 8.025266908971691748e+01 1.870386703816464546e+01 1.859545018321231780e+01 -3.907819166758318943e+02 -3.999449355075775543e+02 -4.032714779842437451e+02 -4.716241030731835053e+03
2.693200240205608793e+02 2.671694740041911587e+02 2.737810946852187612e+02 2.716122201750340537e+02 6.661005383754852183e+00 8.392493651940865718e+00 -4.996440453056226261e+02 -5.050747359064709485e+02 -5.074051071402176945e+02 -3.666564434843303025e+04
1.172146368848520268e+02 1.158616043124388852e+02 9.719543013847442126e+01 9.596241633427311513e+01 3.002641149312920987e+01 2.868634753207143717e+01 -4.642282840456173290e+02 -4.858117555198393802e+02 -4.892848091498637473e+02 -7.260998095130446927e+03
9.683665745644623257e+01 9.715399461088468058e+01 1.025691813619827570e+02 1.029461843312433587e+02 9.285681924646171481e+00 8.327339195005922790e+00 -4.552168516139195162e+02 -4.605141119227538979e+02 -4.689141580474078523e+02 -5.080258055298814725e+03
1.083829568862798141e+02 1.086089758728539323e+02 1.289850262802603993e+02 1.290907681566319525e+02 3.154494700379815697e+01 3.188670047624127690e+01 -6.077020556181153097e+02 -6.252603067732601403e+02 -6.333131125034406068e+02 -6.271930072020554690e+03
1.081141829075836114e+02 1.092469772120745830e+02 9.824532014336912766e+01 9.953389699265589741e+01 1.644632144820923614e+01 1.616782248399888644e+01 -4.068102475477081725e+02 -4.171577778044103866e+02 -4.202222289892972640e+02 -6.238218550367459102e+03
9.300272996664733682e+01 9.217342338643277344e+01 1.156243108031293332e+02 1.149978951724016696e+02 3.730203170237543731e+01 3.718360457437371025e+01 -4.598876299394880789e+02 -5.089647775172573461e+02 -5.269790354653092663e+02 -4.721886545485846909e+03
1.986135490870240403e+02 1.985014433101569296e+02 2.001867251721371019e+02 2.001264085215062494e+02 1.437324753046179815e+01 1.362598377196034782e+01 -4.215754933968606224e+02 -4.274078895315896602e+02 -4.362300307321683590e+02 -2.011106140046887958e+04
9.367039501545414737e+01 9.072709166013328286e+01 9.653258228339566926e+01 9.348939476894058487e+01 9.994506164931458159e+00 1.151192452185912707e+01 -4.025026956715456663e+02 -4.029136104996360359e+02 -4.084177276997461945e+02 -4.782889402731553673e+03
6.854878816330803204e+01 6.865953375339786646e+01 9.299709230600086585e+01 9.314371660885750259e+01 3.536772993128627718e+01 3.519573774358044460e+01 -4.266062860709064921e+02 -4.914186851603256514e+02 -5.134890464433790385e+02 -2.755495331951470234e+03
7.320562911848517729e+01 7.218779957251425117e+01 6.598160584174168264e+01 6.488284855076568647e+01 8.824979568651922790e+00 8.570096516292410982e+00 -5.054282150232363051e+02 -5.071184878027234504e+02 -5.106394902539357190e+02 -3.055223577198230487e+03
2.648701618810015361e+02 2.642609165736395767e+02 2.704372557388309133e+02 2.697870864901895516e+02 4.636081554430806051e+00 6.765608316855825421e+00 -4.420130666018393413e+02 -4.442379069990673770e+02 -4.486803968185532767e+02 -3.545282600996565452e+04
4.300832556402994555e+01 4.274804575530371409e+01 4.027428904370412965e+01 3.998050498498854211e+01 2.934479885864857085e+00 3.132164836588662293e+00 -3.991378613018981696e+02 -4.004880151754016993e+02 -4.025928071192475954e+02 -1.319941274423752247e+03
5.698865128378923828e+01 5.602621118856935567e+01 6.165660238295745899e+01 6.132388236938427184e+01 2.122168482186008376e+01 1.950307427996921916e+01 -3.972539513199920975e+02 -4.214967522728761082e+02 -4.266258781301597764e+02 -2.016417916992360460e+03
1.041531228419279103e+02 1.038104444379315510e+02 1.048666329406349149e+02 1.045842774504313297e+02 5.740724733959289949e+00 4.352026170524317727e+00 -4.065325364002412698e+02 -4.072878183364260281e+02 -4.084418575337515449e+02 -5.804425593571995705e+03
1.804074047744813640e+02 1.798987955477964817e+02 1.780332077425137527e+02 1.776095624776662589e+02 1.254584477625050809e+01 1.107862921830416170e+01 -5.961280285339784086e+02 -6.012523995978409630e+02 -6.020194219852608057e+02 -1.665669481121017816e+04
6.146616834749274005e+01 5.978923992720428515e+01 5.433250626193188992e+01 5.289708607977399879e+01 1.825611143091185085e+01 1.680846393503264125e+01 -4.532821783648191172e+02 -4.601519852858813806e+02 -4.623292665675468243e+02 -2.292569610803480373e+03
2.261004713474237633e+02 2.268830155624515896e+02 1.983557421440998780e+02 1.994480123760641277e+02 7.016416225486663905e+01 6.958494015107724806e+01 -3.922776469501619090e+02 -5.284513840982821193e+02 -5.330491372938626000e+02 -2.594474598437158784e+04
6.631642790601100046e+01 6.717316231332054599e+01 7.226690885161046651e+01 7.307829529948709535e+01 7.535785937909269983e+00 7.296609220962006148e+00 -3.980812911819832607e+02 -3.999405436588998555e+02 -4.051787030068581998e+02 -2.584903152769146345e+03
1.557763601834203371e+02 1.555499914141214788e+02 1.722343743867603791e+02 1.718492855447204590e+02 2.806609997760649478e+01 2.912914465739875070e+01 -4.483763475764953910e+02 -4.666740475725590613e+02 -4.809612023089968602e+02 -1.252497037939915390e+04
8.769731301773818188e+01 8.694211172155470990e+01 8.785414241341229058e+01 8.711199105372303109e+01 5.057247232846748375e+00 4.849275364154252976e+00 -3.665919953869013739e+02 -3.680652986985006692e+02 -3.707335722131848570e+02 -4.203112779876262721e+03
2.559842615985261460e+01 2.573237630573987644e+01 2.708783788073700549e+01 2.744306869676489313e+01 5.563139703311253292e+00 3.979636090374522706e+00 -3.754388792808533140e+02 -3.775993913910871811e+02 -3.798973224316464439e+02 -6.953102438639434695e+02
2.769377534472783609e+01 2.657862199348651089e+01 3.525426259310570032e+01 3.423766610491691864e+01 9.548011598083013141e+00 1.006151779504747878e+01 -4.039130576443557175e+02 -4.123631111457106613e+02 -4.143050586884051540e+02 -7.820459863271543099e+02
9.093552690594869148e+01 8.966110786432966506e+01 8.210000530825749365e+01 8.100384723822553212e+01 1.667515851086966805e+01 1.497402601100466590e+01 -3.868028266996692537e+02 -3.874474162266046733e+02 -3.915072366573864997e+02 -4.480589621226046802e+03
7.608023894563520173e+01 7.549272777623833974e+01 8.591170698541515094e+01 8.546241457824328336e+01 1.540286865081112744e+01 1.500601397520985714e+01 -1.185961041280183053e+03 -1.208702697447556147e+03 -1.210761243382801695e+03 -3.282408796458023062e+03
6.913020281304204673e+01 6.695088445713309966e+01 6.460744693902809388e+01 6.292824194010960071e+01 1.770707928519871643e+01 1.502988898507464022e+01 -4.142580175805749150e+02 -4.197810438655774306e+02 -4.226615443070056699e+02 -2.798731942044509196e+03
2.074293163406343012e+02 2.078181162384150298e+02 2.203634851623556301e+02 2.207797194183104637e+02 1.657922003925374810e+01 1.588047389575921464e+01 -4.991231826700897614e+02 -5.196162177711304366e+02 -5.424284668644793328e+02 -2.189941134491017147e+04
3.044295495651721808e+02 3.041223550313218311e+02 3.062490156784529063e+02 3.059830150543241416e+02 1.352383869513862535e+01 1.256627126255244775e+01 -4.295132998026010682e+02 -4.447613119013685719e+02 -4.495871376238757762e+02 -4.672006013822308159e+04
7.872537414806841127e+01 7.844779963418289981e+01 9.185750008040470505e+01 9.170584822617441034e+01 1.893900043954892709e+01 1.851403926224224961e+01 -4.270481934705454705e+02 -4.402408080801130836e+02 -4.412708465090277627e+02 -3.514559091199131217e+03
2.493015399813642148e+02 2.504770611018191460e+02 2.448647645195660516e+02 2.460163068885170503e+02 5.225441905601341475e+00 6.851728555636540818e+00 -4.199962112721833364e+03 -4.206346406546263097e+03 -4.207048435385858284e+03 -3.146831036523856528e+04
2.206192098097167786e+02 2.217191406005620706e+02 1.762694710045673219e+02 1.772079428066698483e+02 4.884235259819386243e+01 5.038201033934380035e+01 -6.974630765494389379e+02 -7.581226273648694587e+02 -7.659507475800988914e+02 -2.472699064277850266e+04
3.460574817332899045e+01 3.369102504207015158e+01 3.423259168710930567e+01 3.336471134336225930e+01 3.373788879517822803e+00 2.678978145292234991e+00 -3.892679079487610352e+02 -3.917122174146512066e+02 -3.939792835965520226e+02 -9.830541630627260474e+02
8.506776408159738878e+01 8.435820408692592309e+01 8.126988279846150931e+01 8.018351572704702335e+01 3.248992492942993948e+01 3.330809024931811280e+01 -3.839921411493254482e+02 -4.121293621691355042e+02 -4.163694355935503495e+02 -3.992315929438560943e+03
1.126934347692004934e+02 1.119212004121947075e+02 1.483140583040603246e+02 1.473696338163446455e+02 4.133603208520586492e+01 4.257502363888362851e+01 -4.282040686023877356e+02 -4.972561381848159385e+02 -5.066355405818544568e+02 -6.762541301891496914e+03
2.057278832228612089e+02 2.065098367054795006e+02 2.093093243592653607e+02 2.100815145371336712e+02 4.333224126243348628e+00 4.154679406441255551e+00 -5.919359949862813437e+02 -5.952087005623067171e+02 -5.976199142479123338e+02 -2.153178757179329477e+04
2.282209411148160996e+02 2.284787561221440342e+02 2.264629896972591325e+02 2.267870362711657037e+02 1.272088826375262371e+01 1.144679249081909411e+01 -6.826924289614978534e+02 -6.848226797996538835e+02 -6.902264849118145094e+02 -2.642935597312507889e+04
5.200523552367988600e+01 5.167260398702062929e+01 6.240907501094130083e+01 6.294223739263141937e+01 2.729070961023449371e+01 2.528362516170327368e+01 -4.086073627269457234e+02 -4.440265764486110811e+02 -4.617007243670167895e+02 -1.752910335688298801e+03
1.545997960734235903e+02 1.541775900845149749e+02 1.642376620038421038e+02 1.634379024939403564e+02 3.325198232823648681e+01 3.512031183555902913e+01 -3.939973869524862380e+02 -4.271381069148107485e+02 -4.439467039151815015e+02 -1.233870359268199172e+04
5.735214494327755830e+01 5.802343245205342015e+01 6.485796305686363894e+01 6.555995096066551753e+01 9.923277896336443860e+00 9.150430411718774693e+00 -4.078888919028560736e+02 -4.147048588510489822e+02 -4.175212779189520802e+02 -2.044236676002072045e+03
2.491619568873681771e+02 2.481517377226972485e+02 2.194975329148029459e+02 2.186790574825135707e+02 3.691649302203838090e+01 3.485954704400528925e+01 -1.648576727046416181e+03 -1.667125193324211295e+03 -1.667818238177624380e+03 -3.141548287801509287e+04
