# SNRtot, SNR330, SNR220, evidence220, evidence330, evidence220_330, nofilter
1.654810262277564163e+02 9.828779919367373452e+01 1.019762034961348860e+02 -1.885897148508227474e+03 -3.054211284825618350e+03 3.255654256892714038e+00 -1.367951504650638526e+04
8.571047852398574207e+01 5.090791672009946467e+01 5.281831638923552674e+01 -5.039920220192831266e+02 -8.174846653755922716e+02 4.708118946271898864e+00 -3.660673090215993852e+03
7.102336858681765364e+01 4.218447727119859536e+01 4.376751615029253628e+01 -3.449793243612199944e+02 -5.603047220464275142e+02 5.101907072046151903e+00 -2.509689468520162336e+03
5.357377965542544729e+01 3.182025768665050336e+01 3.301436291964689218e+01 -1.945059646764545960e+02 -3.171285462795264607e+02 5.686592721058331357e+00 -1.422604959094722062e+03
4.041134521885789610e+01 2.400240241772873162e+01 2.490313033180591162e+01 -1.085409106618511430e+02 -1.784216829542177436e+02 6.270032059741247998e+00 -8.040684370095378881e+02
1.734428370427069055e+01 1.030167332620476905e+01 1.068825982555289933e+01 -1.438563695459109404e+01 -2.745283742107025304e+01 7.979831282343408994e+00 -1.379421144177983365e+02
4.652943696558581976e+00 2.763625571655486279e+00 2.867334969286823299e+00 8.845798901867940600e+00 7.999428821316351801e+00 1.038065802885065914e+01 1.645031667644429874e+00
1.905340922744579402e+01 1.131681198015176548e+01 1.174149315462272902e+01 -1.895350429075006460e+01 -3.467327236754025677e+01 7.803871705691260985e+00 -1.690462274049416749e+02
8.983427827567258106e+00 5.335725614678917594e+00 5.535957113149545528e+00 3.037675269216828511e+00 -6.088866589399817286e-01 9.072494575623879953e+00 -2.788101357723833473e+01
5.615138210316051648e+00 3.335123001356499195e+00 3.460278739183135777e+00 7.741657947159631625e+00 6.395656615762268515e+00 9.936549613846292317e+00 -3.294914371159123334e+00
1.997012846171001854e+02 1.186129927315616186e+02 1.230641318994741624e+02 -2.747391085060266505e+03 -4.448878024932026165e+03 2.796606828839269809e+00 -1.992783156467070876e+04
3.855628166653027620e+02 2.290058356828714068e+02 2.375996399653034530e+02 -1.024535195915762233e+04 -1.658790210862114327e+04 7.607778267056748422e-01 -7.431687282325161505e+04
2.409980406021355464e+02 1.431412867126545905e+02 1.485128887029517273e+02 -4.001938562478729636e+03 -6.479912797249669893e+03 2.300000460913787403e+00 -2.902755781284497061e+04
