# SNRtot, SNR221, evidence220, evidence221, evidence220_221, nofilter
5.791349076508991445e+00 5.791349076508991445e+00 7.673777274707073381e+00 1.103120073925406075e+01 1.137538142329302815e+01 -4.779460953936107259e+00
7.325218092052491414e+00 7.325218092052491414e+00 5.828927177035186702e+00 1.077252929573284845e+01 1.121496684498332463e+01 -1.483900893901190621e+01
1.318021820224998386e+01 1.318021820224998386e+01 -3.239256204118383664e+00 9.890367870653040683e+00 1.066212731548503356e+01 -7.486867482040624111e+01
2.210102399588866433e+02 2.210102399588866433e+02 -3.043801533676560211e+03 -2.951484963929392080e+00 -1.742804073534431453e+00 -2.441077268223326973e+04
5.029852542312438004e+02 5.029852542312438004e+02 -1.577533595010690806e+04 -3.511139365407719737e+01 -3.472537852693918836e+01 -1.264850925859254203e+05
1.747316507168043529e+02 1.747316507168043529e+02 -1.901481766041043556e+03 2.564489394555531376e-01 1.546947799180033556e+00 -1.525358448000060162e+04
2.011852187520441593e+00 2.011852187520441593e+00 1.122253226510750856e+01 1.172021902974198859e+01 1.181822865990451810e+01 9.966626496839271709e+00
4.578665604833050295e+00 4.578665604833050295e+00 8.985426720945270063e+00 1.123781714582832336e+01 1.150643375589243433e+01 1.508311748614064030e+00
1.171931403758622992e+01 1.171931403758622992e+01 -6.480984262582181188e-01 1.008824069288076686e+01 1.078906156491610169e+01 -5.668075964672816980e+01
1.590579032849578800e+00 1.590579032849578800e+00 1.149040183152686012e+01 1.180509910994889644e+01 1.187228531794284692e+01 1.072543027918431413e+01
8.238363825960444586e+00 8.238363825960444586e+00 4.634584044435762884e+00 1.062118563211555156e+01 1.112178984803543003e+01 -2.194491815539214485e+01
3.535851595204524074e+02 3.535851595204524074e+02 -7.794666454521514424e+03 -1.527816987400077764e+01 -1.438098716428461366e+01 -6.249924211544283025e+04
3.143935449219530369e+02 3.143935449219530369e+02 -6.162015941993628985e+03 -1.113007061404066533e+01 -1.012740534812791182e+01 -4.940966014318699308e+04
6.069989031563672910e+01 6.069989031563672910e+01 -2.260250068865308890e+02 6.394348434136805537e+00 7.915323337778898072e+00 -1.830247941056110221e+03
7.677657292827744584e+01 7.677657292827744584e+01 -3.642375194682963979e+02 5.589596655607842024e+00 7.078301526748544958e+00 -2.935330674196497966e+03
1.381435980880285967e+02 1.381435980880285967e+02 -1.187380393161736265e+03 2.438298172873133662e+00 3.789494353340965294e+00 -9.529836445244332936e+03
2.999614590036737383e+01 2.999614590036737383e+01 -5.076016243189209831e+01 8.250283784721631264e+00 9.551011201283611030e+00 -4.378939833290085630e+02
3.373540012029548762e+01 3.373540012029548762e+01 -6.592316518895661659e+01 7.974287010937919362e+00 9.343381675805186859e+00 -5.570482095291616815e+02
2.795459549904390997e+02 2.795459549904390997e+02 -4.871210789081551411e+03 -7.801322658930770260e+00 -6.714543597485446824e+00 -3.906098007464924740e+04
3.976623154401619900e+02 3.976623154401619900e+02 -9.859701854395783812e+03 -2.046264147250560583e+01 -1.969816619470096697e+01 -7.905566815950638556e+04
1.788857150994052958e+00 1.788857150994052958e+00 1.136954434560519900e+01 1.176566426519568331e+01 1.184719161479535998e+01 1.039039615572338349e+01
9.265340318335377745e+00 9.265340318335377745e+00 3.200470900428243226e+00 1.045558916645330960e+01 1.101954084126258770e+01 -3.093286449823089157e+01
1.042033746361804880e+01 1.042033746361804880e+01 1.465557470158306508e+00 1.027725977125015788e+01 1.090843875883062353e+01 -4.230131531878624429e+01
4.071163259419567915e+00 4.071163259419567915e+00 9.490909270492821292e+00 1.132592022036779511e+01 1.156331030068698595e+01 3.703215966630782674e+00
2.262645299643732066e+00 2.262645299643732066e+00 1.104493783830571552e+01 1.166874052871198586e+01 1.178532553176559361e+01 9.430619233054727601e+00
3.794078162763224071e+01 3.794078162763224071e+01 -8.501201137079128500e+01 7.687938327892384294e+00 9.115312298575448224e+00 -7.077610541487835008e+02
2.667135310883175237e+01 2.667135310883175237e+01 -3.870099760277708612e+01 8.516010272241981482e+00 9.741689450339402256e+00 -3.436901372189398671e+02
1.553642781654779981e+02 1.553642781654779981e+02 -1.502690987501736345e+03 1.447371389786727303e+00 2.769873204625117769e+00 -1.205703906383095818e+04
6.826660644529603417e+01 6.826660644529603417e+01 -2.870836709777206011e+02 6.011023199618018786e+00 7.520634813892111303e+00 -2.318174376669412140e+03
5.397187404185393689e+01 5.397187404185393689e+01 -1.776870883597551369e+02 6.747806488494203059e+00 8.267466823431798062e+00 -1.444491192685818987e+03
