# SNRtot, SNR200, SNR220, evidence220, evidence200, evidence220_200, nofilter
3.923493951009669445e+01 2.044640942357657565e+01 2.039479045812422342e+01 4.396101402481201958e+00 5.760370256602716843e+00 8.433731097075567007e+00 -7.576998380714186396e+02
4.259781009518484751e+01 2.219889406302709745e+01 2.214285077826343695e+01 3.901587009387369243e+00 5.316252493246239830e+00 8.258273958069830556e+00 -8.952963113436612730e+02
1.052554072517907713e+02 5.485149658919662841e+01 5.471301860762090996e+01 -8.642080340563394358e+00 -6.661700898110240132e+00 6.228569080277256198e+00 -5.527359976761109465e+03
8.224349520617339238e+01 4.285935435120629222e+01 4.275115170859394453e+01 -3.202052419371352876e+00 -1.372421060062675835e+00 6.762906870429829631e+00 -3.370005850754878338e+03
5.451677167128195833e+01 2.841019377016811731e+01 2.833846945024786379e+01 2.033773852647920766e+00 3.602551016689033769e+00 7.700701295518600276e+00 -1.474048795620290775e+03
3.065703362672837429e+01 1.597622601363093864e+01 1.593589246451860930e+01 5.613537134583962640e+00 6.830128307867752824e+00 8.916380747714431010e+00 -4.579364542861225118e+02
2.600767675846473281e+01 1.355331787940600918e+01 1.351910119945558719e+01 6.261759105690712701e+00 7.383030059206571849e+00 9.200652506047230617e+00 -3.262092240773386038e+02
8.224349520617339593e+00 4.285935435120630466e+00 4.275115170859394631e+00 9.186118451374637672e+00 9.696135716561265383e+00 1.064013961444903877e+01 -2.182956140958466307e+01
1.347061032360981017e+02 7.019906677595506039e+01 7.002184234854448164e+01 -1.716481446269956379e+01 -1.504941512630488276e+01 5.702745489735152162e+00 -9.060876723418105030e+03
7.575080860501538282e+00 3.947583623791637741e+00 3.937617561855021542e+00 9.343722710073382842e+00 9.812714952985267303e+00 1.072243963952145229e+01 -1.670052391251370238e+01
1.240717727108365231e+01 6.465722375083243989e+00 6.449399024954145965e+00 8.332277624487913315e+00 9.053670525003983727e+00 1.020080403653345691e+01 -6.497862280899272491e+01
2.823682384648342918e+02 1.471498792646380309e+02 1.467783849657260191e+02 -8.781772169800183292e+01 -8.557111787257666435e+01 4.069986111997629941e+00 -3.985392064575770928e+04
1.462519141347729956e+01 7.621590737031226581e+00 7.602349283884291431e+00 7.949232862611959938e+00 8.756385736082462401e+00 1.000789634824825214e+01 -9.495771083137040591e+01
2.206342787787096427e+01 1.149786097063849510e+01 1.146883349320106227e+01 6.818687703712615011e+00 7.847230226823215027e+00 9.457753941428972411e+00 -2.314070237519521527e+02
1.587873294099794066e+02 8.274845810727642004e+01 8.253955151092557685e+01 -2.547927159317021761e+01 -2.328996714985851213e+01 5.351348378269165096e+00 -1.259471758946760019e+04
2.823682384648342136e+01 1.471498792646380416e+01 1.467783849657259942e+01 5.950832775731178081e+00 7.119442208261564708e+00 9.062131924347458067e+00 -3.866687093596127625e+02
3.328468229642628273e+01 1.734556622908185730e+01 1.730177564632564824e+01 5.245536318792973773e+00 6.510742356990177448e+00 8.763097989399479815e+00 -5.419446366779619666e+02
5.021296245109753187e+01 2.616736004860192466e+01 2.610129798233171883e+01 2.731101503169292677e+00 4.248083899662356444e+00 7.890267331912840909e+00 -1.248680397948610789e+03
8.929267724384429528e+01 4.653287758950389730e+01 4.641540077727096758e+01 -4.758196791167235595e+00 -2.877284798625791673e+00 6.582934424242263383e+00 -3.974600703577619242e+03
9.694605256483396261e+01 5.052126261670603924e+01 5.039371673539281460e+01 -6.557225756635230773e+00 -4.625942651188211130e+00 6.405032160560452326e+00 -4.687278152842719464e+03
2.395450897913308097e+01 1.248335550516283199e+01 1.245184005014081485e+01 6.550000385019363769e+00 7.624582127569774492e+00 9.332363223922067519e+00 -2.749188491066290112e+02
1.723971691605953254e+02 8.984092108045750535e+01 8.961410886588294034e+01 -3.072310751413406749e+01 -2.850384345766676120e+01 5.174386314223063721e+00 -1.484840156618440597e+04
2.600767675846471434e+02 1.355331787940600066e+02 1.351910119945557653e+02 -7.410755220579926572e+01 -7.184320790458005490e+01 4.261591744293832029e+00 -3.380797211753023294e+04
1.347061032360980981e+01 7.019906677595504796e+00 7.002184234854447631e+00 8.144483463939298673e+00 8.908648662633977366e+00 1.010588106627263194e+01 -7.873827013621692572e+01
6.977068508492759058e+00 3.635942888717203836e+00 3.626763594374060151e+00 9.497720706644946276e+00 9.926818083930132985e+00 1.080305536446811132e+01 -1.234934137704602541e+01
1.142769660304766433e+01 5.955287976274286521e+00 5.940253267835372775e+00 8.513491543484159152e+00 9.192257924810878222e+00 1.029300625663842261e+01 -5.330572371659889797e+01
8.929267724384430949e+00 4.653287758950390263e+00 4.641540077727096758e+00 9.024690081229534755e+00 9.576435469338345996e+00 1.055616867994233843e+01 -2.787550993781208319e+01
1.462519141347730169e+02 7.621590737031228002e+01 7.602349283884292674e+01 -2.099832840886207563e+01 -1.884391034229661699e+01 5.527356835701307425e+00 -1.068282079293345305e+04
