# SNRtot, SNR200, SNR220, evidence220, evidence200, evidence220_200, nofilter
4.954590786205126847e+02 4.563008836837923354e+01 4.565204444990798720e+02 -2.509655975576579223e+01 -2.535661303796711508e+01 2.969074772306087517e+00 -1.227278588926346274e+05
1.566779175849256262e+03 1.442950090788346529e+02 1.443644403049579068e+03 -2.669069209033643233e+02 -2.662853831773400657e+02 2.840331572778995728e-01 -1.227386502536328277e+06
8.810646780277137395e+02 8.114304662374533450e+01 8.118209067145306790e+02 -8.370371563363671896e+01 -8.387686664383279833e+01 1.708221880410796034e+00 -3.881254930329303606e+05
6.340896257639184341e+01 5.839748811877402801e+00 5.842558756052524416e+01 5.148095066647731421e+00 4.916317082805304217e+00 8.554707763989719993e+00 -1.998357866398076112e+03
7.474449624985107903e+02 6.883712734514199383e+01 6.887025008573353944e+02 -5.981283670105024441e+01 -6.004685888348586076e+01 2.070333781698781461e+00 -2.793249955810910906e+05
7.474449624985108187e+01 6.883712734514198850e+00 6.887025008573353091e+01 4.648186606178376756e+00 4.408008752300506039e+00 8.301971340027380464e+00 -2.781379458712945961e+03
1.329165986948416673e+02 1.224116462040933051e+01 1.224705476916913227e+02 2.187097429495670653e+00 1.932750267347257633e+00 7.132392715931578309e+00 -8.821420703193738518e+03
1.127588525615262370e+03 1.038470507196084753e+02 1.038970193783082550e+03 -1.378637698391954416e+02 -1.378143276707075131e+02 1.140755096307015881e+00 -6.357159511484914692e+05
1.224235400370827165e+03 1.127478976834035649e+02 1.128021492117755542e+03 -1.626778004087429679e+02 -1.625135713014333021e+02 9.416960832422319738e-01 -7.493641673594505992e+05
1.038571407683579650e+02 9.564887829166469402e+00 9.569490219047794710e+01 3.425809263579983277e+00 3.175567370831936742e+00 7.693021017711953569e+00 -5.381162443180205628e+03
3.024976996473729685e+01 2.785900463176941511e+00 2.787240970282838504e+01 6.978497534375910583e+00 6.871634487753336629e+00 9.416398376057255604e+00 -4.455338903507066561e+02
9.565817178472117632e+01 8.809790798157182579e+00 8.814029853831456762e+01 3.767645076564740680e+00 3.519307806868173572e+00 7.859496366724060046e+00 -4.563252513488558179e+03
2.005167458097767508e+02 1.846690720879474767e+01 1.847579303248605527e+02 -1.074944655256202530e+00 -1.332852020043522323e+00 5.985641730277420969e+00 -2.009149227396225615e+04
2.566217752310171818e+02 2.363398873151028567e+01 2.364536082834362105e+02 -4.343838255111758251e+00 -4.602823867984318085e+00 5.153380896449808901e+00 -3.291537736025029153e+04
